datetime,event,length
2/8/2024 7:27 PM,cry,17
2/8/2024 19:44,ANC,4
2/8/2024 19:48,cry,1
2/8/2024 19:49,ANC,3
2/8/2024 7:52 PM,cry,2
2/8/2024 7:54 PM,ANC,5
2/8/2024 7:59 PM,cry,15
2/8/2024 8:14 PM,ANC,5
2/8/2024 8:19 PM,cry,14
2/8/2024 8:33 PM,sleep,21
2/8/2024 8:54 PM,ANC,6
2/8/2024 9:00 PM,cry,1
2/8/2024 9:01 PM,ANC,3
2/8/2024 9:04 PM,sleep,11
2/8/2024 9:15 PM,ANC,4
2/8/2024 9:19 PM,cry ,33
2/8/2024 9:52 PM,ANC,5
2/8/2024 9:57 PM,sleep,3
2/8/2024 10:00 PM,feed,23
2/8/2024 10:23 PM,cry,2
2/8/2024 10:25 PM,sleep,301
2/9/2024 3:26 AM,cry,2
2/9/2024 3:28 AM,feed,13
2/9/2024 3:41 AM,ANC,24
2/9/2024 4:05 AM,cry,54
2/9/2024 4:59 AM,ANC,7
2/9/2024 5:06 AM,sleep,38
2/9/2024 5:44 AM,cry,9
2/9/2024 5:53 AM,sleep,70
